city,seed,backbone,phase,K,eps,kappa,gating,boundary_frac,macroCatMRR,CatMRR,HR20,NDCG20,Coverage,Gini,LT20
ml1m,42,EASE,kappa,5,0.03,0.5,double,0.2423,0.13877840600856586,0.3501022125058168,0.06589059558225907,0.024857971632878017,0.43282208588957055,0.8945923513944605,0.07250949
ml1m,42,EASE,kappa,5,0.03,1.0,double,0.2423,0.13704450415309702,0.3235221249847434,0.059222145632499654,0.022535665575981627,0.42392638036809815,0.8910336917425177,0.1280857
ml1m,42,EASE,kappa,5,0.03,1.5,double,0.2423,0.1348895385912328,0.3022957267587041,0.055765319944992585,0.021294966957589513,0.42024539877300615,0.8923903923119711,0.17112829
ml1m,42,EASE,kappa,5,0.03,0.0,single,0.2423,0.12939490074495386,0.3754534444626602,0.06893760909748728,0.026030772680193826,0.36319018404907977,0.9323181150655631,0.010699699
ml1m,42,EASE,kappa,5,0.03,0.05,single,0.2423,0.13846558983498788,0.3944741516022898,0.07258305126595953,0.02718167150287596,0.40950920245398775,0.92815919613907,0.013659092
ml1m,42,EASE,kappa,5,0.03,0.1,single,0.2423,0.14336011253273154,0.3985559035855669,0.07279738817614721,0.02735348169445389,0.4269938650306748,0.9215571930509774,0.018143706
ml1m,42,EASE,kappa,5,0.03,0.25,single,0.2423,0.1425168566619869,0.36509810964973977,0.06938857395652219,0.02602762043888766,0.4414110429447853,0.904872999463437,0.037866645
ml1m,42,EASE,kappa,5,0.03,0.5,single,0.2423,0.14134907708920208,0.33281779599294137,0.06324653545818372,0.023921448862555105,0.43650306748466255,0.894358485472565,0.080232315
ml1m,42,EASE,kappa,5,0.03,1.0,single,0.2423,0.13565814143391364,0.30685635121456384,0.05651121239244575,0.021565232745573277,0.42392638036809815,0.8908688067494446,0.14724533
ml1m,42,EASE,kappa,5,0.03,1.5,single,0.2423,0.13249711170171283,0.2860755619853509,0.05333216734054192,0.020325452906695497,0.4147239263803681,0.892307389173195,0.19758743
ml1m,42,AFM,kappa,5,0.03,0.0,double,0.2423,0.21024525072491407,0.4306562232586529,0.08825022205303894,0.03443995951214658,0.36073619631901843,0.930159838423948,0.04815533
ml1m,42,AFM,kappa,5,0.03,0.05,double,0.2423,0.21413153716014915,0.43623807610075327,0.08904927005421867,0.03469360590255921,0.36257668711656443,0.9290644504724574,0.049105443
ml1m,42,AFM,kappa,5,0.03,0.1,double,0.2423,0.2162699619619095,0.43848092316950915,0.08991347647609543,0.034949257359218035,0.36226993865030677,0.9277702757930617,0.050282415
ml1m,42,AFM,kappa,5,0.03,0.25,double,0.2423,0.2199784576107443,0.440201362924423,0.09047418183314643,0.03509226292149179,0.3696319018404908,0.9232831998511433,0.05362401
ml1m,42,AFM,kappa,5,0.03,0.5,double,0.2423,0.21346162643020747,0.4253416282235103,0.0889909704146476,0.0342561665882153,0.3843558282208589,0.9154249567186714,0.05889618
ml1m,42,AFM,kappa,5,0.03,1.0,double,0.2423,0.19116611101214553,0.39200448796372905,0.08118224810268967,0.031285493468793696,0.4076687116564417,0.9051169203374241,0.06824041
ml1m,42,AFM,kappa,5,0.03,1.5,double,0.2423,0.17990236429977158,0.37203583147756153,0.07658857944354708,0.029526595488217667,0.4226993865030675,0.9013003520006422,0.07866387
ml1m,42,AFM,kappa,5,0.03,0.0,single,0.2423,0.21024525072491407,0.4306562232586529,0.08825022205303894,0.03443995951214658,0.36073619631901843,0.930159838423948,0.04815533
ml1m,42,AFM,kappa,5,0.03,0.05,single,0.2423,0.21435403680801868,0.43633860677931335,0.0890801345692857,0.03470294821143862,0.36257668711656443,0.9289742351990922,0.049235594
