dataset,n,seed,arm,kappa,K,eps,n_req,n_users,macroCatMRR,CatMRR,HR20,NDCG20
ml1m,2,42,BASE,0.1,3,0.05,97199,6040,0.18266336391934113,0.4077908568338681,0.10275825882982335,0.042341824716269606
ml1m,2,42,PRIOR,0.1,3,0.05,97199,6040,0.18747718628395768,0.3048483021121736,0.0795172789843517,0.034442576461950626
ml1m,2,42,SIT,0.1,3,0.05,97199,6040,0.12941671393412327,0.3259306745352318,0.07654399736622805,0.03285627773381225
ml1m,2,42,PERM,0.1,3,0.05,97199,6040,0.08953974134608428,0.21870688150710982,0.047881151040648565,0.02128179660822265
ml1m,2,43,BASE,0.1,3,0.05,97199,6040,0.18266336391934113,0.4077908568338681,0.10275825882982335,0.042341824716269606
ml1m,2,43,PRIOR,0.1,3,0.05,97199,6040,0.18747718628395768,0.3048483021121736,0.0795172789843517,0.034442576461950626
ml1m,2,43,SIT,0.1,3,0.05,97199,6040,0.12941671393412327,0.3259306745352318,0.07654399736622805,0.03285627773381225
ml1m,2,43,PERM,0.1,3,0.05,97199,6040,0.09157023708795832,0.21819530977081286,0.04659512957952242,0.02061188519152517
ml1m,2,44,BASE,0.1,3,0.05,97199,6040,0.18266336391934113,0.4077908568338681,0.10275825882982335,0.042341824716269606
ml1m,2,44,PRIOR,0.1,3,0.05,97199,6040,0.1862985581987251,0.30369149235824305,0.07901315857159025,0.03431326893132959
ml1m,2,44,SIT,0.1,3,0.05,97199,6040,0.135682550945107,0.32622063866670653,0.07709955863743455,0.033288294223985694
ml1m,2,44,PERM,0.1,3,0.05,97199,6040,0.09490112583055188,0.2148292086273733,0.04807662630273974,0.021594174299328573
ml1m,2,45,BASE,0.1,3,0.05,97199,6040,0.18266336391934113,0.4077908568338681,0.10275825882982335,0.042341824716269606
ml1m,2,45,PRIOR,0.1,3,0.05,97199,6040,0.1855729385915743,0.30343416777196847,0.07969217790306485,0.03447107825005039
ml1m,2,45,SIT,0.1,3,0.05,97199,6040,0.12520040889498726,0.3116158719697701,0.0736735974649945,0.031664113060746346
ml1m,2,45,PERM,0.1,3,0.05,97199,6040,0.08672864779252248,0.20500657356717783,0.044640376958610686,0.01986291571745888
ml1m,2,46,BASE,0.1,3,0.05,97199,6040,0.18266336391934113,0.4077908568338681,0.10275825882982335,0.042341824716269606
ml1m,2,46,PRIOR,0.1,3,0.05,97199,6040,0.1855729385915743,0.30343416777196847,0.07969217790306485,0.03447107825005039
ml1m,2,46,SIT,0.1,3,0.05,97199,6040,0.12520040889498726,0.3116158719697701,0.0736735974649945,0.031664113060746346
ml1m,2,46,PERM,0.1,3,0.05,97199,6040,0.08699133153197719,0.20472472888115817,0.044671241473677716,0.01989825710688763
ml1m,3,42,BASE,0.1,3,0.05,97199,6040,0.18643980897699228,0.4098886204490839,0.11318017675078962,0.046115824746111
ml1m,3,42,PRIOR,0.1,3,0.05,97199,6040,0.19360146492145205,0.33479974117825156,0.09335486990606899,0.039507866296410336
ml1m,3,42,SIT,0.1,3,0.05,97199,6040,0.1460326105405475,0.3505729026406181,0.08985689153180589,0.037994571591877045
ml1m,3,42,PERM,0.1,3,0.05,97199,6040,0.10473750462127124,0.2369802173566606,0.0575931851150732,0.025276909061530205
ml1m,3,43,BASE,0.1,3,0.05,97199,6040,0.18643980897699228,0.4098886204490839,0.11318017675078962,0.046115824746111
ml1m,3,43,PRIOR,0.1,3,0.05,97199,6040,0.19360146492145205,0.33479974117825156,0.09335486990606899,0.039507866296410336
ml1m,3,43,SIT,0.1,3,0.05,97199,6040,0.1460326105405475,0.3505729026406181,0.08985689153180589,0.037994571591877045
ml1m,3,43,PERM,0.1,3,0.05,97199,6040,0.10395784382462483,0.2358019589087088,0.056193993765367954,0.024475890391942427
ml1m,3,44,BASE,0.1,3,0.05,97199,6040,0.18643980897699228,0.4098886204490839,0.11318017675078962,0.046115824746111
ml1m,3,44,PRIOR,0.1,3,0.05,97199,6040,0.19392506870092296,0.33413741191530427,0.09308737744215476,0.03944770165322287
ml1m,3,44,SIT,0.1,3,0.05,97199,6040,0.14202997822560173,0.34717597587997967,0.08868403995925885,0.03750174445921247
